ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;CHANGEMENT_STATUT
"30";"332982";"332982";"Bogidiella nicolae";"G.S. Karaman, 1988";"";"";"ES";"Bogidiellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"250283";"250283";"Branchipus blanchardi";"Daday, 1908";"";"";"ES";"Branchipodidae";"Métropole";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"443326";"443326";"Bryocamptus alosensis";"Apostolov, 1998";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240839";"240839";"Bryocamptus dentatus";"Chappuis, 1937";"";"";"ES";"Canthocamptidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240838";"240838";"Bryocamptus hoferi";"(Van Douwe, 1907)";"";"";"ES";"Canthocamptidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"17849";"240842";"Bryocamptus unisaetosus";"Kiefer, 1930";"";"";"ES";"Canthocamptidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"241007";"241007";"Candonopsis boui";"Danielopol, 1978";"";"";"ES";"Candonidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240845";"240845";"Ceuthonectes boui";"Apostolov, 2002";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240846";"240846";"Ceuthonectes bulbiseta";"Apostolov, 2002";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240847";"240847";"Ceuthonectes chappuisi";"Rouch, 1980";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"320297";"320297";"Ceuthonectes serbicus";"Chappuis, 1924";"";"";"ES";"Canthocamptidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240848";"240848";"Ceuthonectes vievilleae";"Rouch, 1980";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"250288";"250288";"Chirocephalus salinus";"Daday, 1910";"";"";"ES";"Chirocephalidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240741";"240741";"Copidodiaptomus numidicus";"(Gurney, 1909)";"";"";"ES";"Diaptomidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"241057";"241057";"Cytherissa lacustris";"(Sars, 1863)";"";"";"ES";"Cytherideidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240643";"240643";"Daphnia atkinsoni";"Baird, 1859";"";"";"ES";"Daphniidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"319825";"319825";"Daphnia chevreuxi";"Richard, 1896";"";"";"ES";"Daphniidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216431";"216431";"Delamareibathynella debouttevillei";"Serban, 1989";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216432";"216432";"Delamareibathynella motasi";"Serban, 1992";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"320082";"320082";"Diacyclops paolae";"Pesce & Galassi, 1987";"";"";"ES";"Cyclopidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"320096";"320096";"Diacyclops zschokkei";"(Graeter, 1910)";"";"";"ES";"Cyclopidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240739";"240739";"Diaptomus castaneti";"Burckhardt, 1920";"";"";"ES";"Diaptomidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"639940";"639940";"Dolekiella europaea";"Gidó, Artheau, Colin, Danielopol & Marmonier, 2007";"";"";"ES";"Limnocytheridae";"Métropole";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
